Sum,Average,Median,Rank_Sum,Rank_Avg,Rank_Med,Rank_Avg_All,Rank_Overall
279.8054849452448,27.98054849452448,27.987008193388043,2.0,2.0,1.0,1.6666666666666667,1
280.0863579465186,28.00863579465186,26.100621172523226,1.0,1.0,6.0,2.6666666666666665,2
274.74711926706004,27.474711926706004,27.72999407592294,4.0,4.0,2.0,3.3333333333333335,3
275.72163627829644,27.572163627829646,26.99690664359224,3.0,3.0,4.0,3.3333333333333335,3
266.5058564284823,26.650585642848228,25.91275802800788,6.0,8.0,7.0,7.0,5
245.7330177504375,27.303668638937502,26.256926307598526,14.0,5.0,5.0,8.0,6
266.0732596257392,26.607325962573917,25.861543835516958,7.0,10.0,8.0,8.333333333333334,7
268.62804586902945,26.862804586902946,24.726552722446023,5.0,6.0,14.0,8.333333333333334,7
257.2734357171085,25.72734357171085,25.12352609504086,8.0,12.0,11.0,10.333333333333334,9
239.92447798440077,26.658275331600084,25.526339319200613,16.0,7.0,10.0,11.0,10
237.51728217986752,26.39080913109639,25.82238437518676,17.0,11.0,9.0,12.333333333333334,11
251.63846311668323,25.163846311668323,25.011840292415904,11.0,16.0,12.0,13.0,12
186.53493050774355,26.647847215391938,27.59968590431107,28.0,9.0,3.0,13.333333333333334,13
252.82016635686998,25.282016635686997,23.583000544518683,9.0,13.0,19.0,13.666666666666666,14
251.8399880394753,25.183998803947528,23.99958154335041,10.0,15.0,17.0,14.0,15
249.6130295963392,24.96130295963392,24.451573778772467,12.0,17.0,15.0,14.666666666666666,16
246.08537369450417,24.608537369450417,24.28515133178342,13.0,18.0,16.0,15.666666666666666,17
243.4161361668971,24.34161361668971,24.982246312146394,15.0,19.0,13.0,15.666666666666666,17
234.74962700759255,23.474962700759257,23.244245868157908,18.0,21.0,21.0,20.0,19
176.82856761717113,25.26122394531016,23.70984679142229,29.0,14.0,18.0,20.333333333333332,20
231.74759479567817,23.17475947956782,23.390286505503703,20.0,23.0,20.0,21.0,21
234.5332026094653,23.45332026094653,22.39586370328438,19.0,22.0,24.0,21.666666666666668,22
229.4680605253216,22.94680605253216,23.208550363846292,21.0,25.0,22.0,22.666666666666668,23
205.8002921546738,22.86669912829709,22.64674268778432,26.0,26.0,23.0,25.0,24
227.4832399208228,22.74832399208228,22.21064026840572,22.0,27.0,26.0,25.0,24
167.80767549357967,23.97252507051138,22.18237338457078,30.0,20.0,27.0,25.666666666666668,26
208.10986320699118,23.123318134110132,21.897632873774533,25.0,24.0,29.0,26.0,27
220.3017917302344,22.03017917302344,21.93353240150006,23.0,29.0,28.0,26.666666666666668,28
204.67198718566735,22.741331909518593,22.348544477022827,27.0,28.0,25.0,26.666666666666668,28
214.1913360414872,21.41913360414872,20.940091566461028,24.0,30.0,30.0,28.0,30
